"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTSL", "Ignore", "Python", "YAML", "comment", "blank", "total"
"c:\Users\Sandy\Documents\Projects\htsl\docs\resources\sin\explanation.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 0, 13, 55
"c:\Users\Sandy\Documents\Projects\htsl\docs\resources\sin\sin.htsl", "HTSL", 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\Sandy\Documents\Projects\htsl\docs\resources\sin\sin_globalstats.htsl", "HTSL", 0, 0, 0, 0, 34, 0, 0, 0, 0, 2, 36
"c:\Users\Sandy\Documents\Projects\htsl\docs\resources\template\explanation.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Sandy\Documents\Projects\htsl\docs\resources\template\template.htsl", "HTSL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\Sandy\Documents\Projects\htsl\editors\code\.vscodeignore", "Ignore", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\Sandy\Documents\Projects\htsl\editors\code\htsl.tmGrammar.json", "JSON", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 102
"c:\Users\Sandy\Documents\Projects\htsl\editors\code\package-lock.json", "JSON", 0, 0, 0, 5092, 0, 0, 0, 0, 0, 1, 5093
"c:\Users\Sandy\Documents\Projects\htsl\editors\code\package.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"c:\Users\Sandy\Documents\Projects\htsl\editors\code\src\languageFeatures.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 7, 23, 121
"c:\Users\Sandy\Documents\Projects\htsl\editors\code\src\main.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 10, 40
"c:\Users\Sandy\Documents\Projects\htsl\editors\code\tsconfig.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\Sandy\Documents\Projects\htsl\editors\code\vite.config.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Sandy\Documents\Projects\htsl\editors\common\package-lock.json", "JSON", 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"c:\Users\Sandy\Documents\Projects\htsl\editors\common\package.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Sandy\Documents\Projects\htsl\editors\common\src\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Sandy\Documents\Projects\htsl\editors\common\src\inlayHints.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 4, 25, 89
"c:\Users\Sandy\Documents\Projects\htsl\editors\common\tsconfig.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\Sandy\Documents\Projects\htsl\editors\monaco\package-lock.json", "JSON", 0, 0, 0, 81, 0, 0, 0, 0, 0, 1, 82
"c:\Users\Sandy\Documents\Projects\htsl\editors\monaco\package.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Sandy\Documents\Projects\htsl\editors\monaco\src\htslMode.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
"c:\Users\Sandy\Documents\Projects\htsl\editors\monaco\src\htslMonarch.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 24, 15, 130
"c:\Users\Sandy\Documents\Projects\htsl\editors\monaco\src\languageFeatures.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 4, 22, 128
"c:\Users\Sandy\Documents\Projects\htsl\editors\monaco\src\monaco.contribution.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Sandy\Documents\Projects\htsl\editors\monaco\tsconfig.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\Sandy\Documents\Projects\htsl\package-lock.json", "JSON", 0, 0, 0, 1600, 0, 0, 0, 0, 0, 1, 1601
"c:\Users\Sandy\Documents\Projects\htsl\package.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Sandy\Documents\Projects\htsl\src\codegen\actions.ts", "TypeScript", 269, 0, 0, 0, 0, 0, 0, 0, 0, 32, 301
"c:\Users\Sandy\Documents\Projects\htsl\src\codegen\arguments.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Sandy\Documents\Projects\htsl\src\codegen\conditions.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Sandy\Documents\Projects\htsl\src\codegen\helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Sandy\Documents\Projects\htsl\src\codegen\holders.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Sandy\Documents\Projects\htsl\src\codegen\index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Sandy\Documents\Projects\htsl\src\diagnostic.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Sandy\Documents\Projects\htsl\src\helpers.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 13, 200
"c:\Users\Sandy\Documents\Projects\htsl\src\index.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Sandy\Documents\Projects\htsl\src\ir.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 13, 76
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\actions.ts", "TypeScript", 353, 0, 0, 0, 0, 0, 0, 0, 1, 41, 395
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\arguments.ts", "TypeScript", 336, 0, 0, 0, 0, 0, 0, 0, 1, 45, 382
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\conditions.ts", "TypeScript", 201, 0, 0, 0, 0, 0, 0, 0, 0, 23, 224
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\holders.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\lexer.ts", "TypeScript", 168, 0, 0, 0, 0, 0, 0, 0, 7, 26, 201
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\parser.ts", "TypeScript", 248, 0, 0, 0, 0, 0, 0, 0, 1, 42, 291
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\placeholders.ts", "TypeScript", 144, 0, 0, 0, 0, 0, 0, 0, 0, 17, 161
"c:\Users\Sandy\Documents\Projects\htsl\src\parse\token.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 20, 139
"c:\Users\Sandy\Documents\Projects\htsl\src\semantics.ts", "TypeScript", 245, 0, 0, 0, 0, 0, 0, 0, 0, 4, 249
"c:\Users\Sandy\Documents\Projects\htsl\src\source.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 16, 95
"c:\Users\Sandy\Documents\Projects\htsl\src\span.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Sandy\Documents\Projects\htsl\src\validate\context.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 2, 11, 85
"c:\Users\Sandy\Documents\Projects\htsl\src\validate\cooldowns.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 2, 11, 78
"c:\Users\Sandy\Documents\Projects\htsl\src\validate\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Sandy\Documents\Projects\htsl\src\validate\limits.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 7, 72
"c:\Users\Sandy\Documents\Projects\htsl\src\validate\nesting.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\conditionals.htsl", "HTSL", 0, 0, 0, 0, 21, 0, 0, 0, 0, 11, 32
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\failing\else_disconnected.htsl", "HTSL", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\failing\exit_outside_conditional.htsl", "HTSL", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\failing\invalid_var_actions.htsl", "HTSL", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\failing\invalid_var_names.htsl", "HTSL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\failing\limits_surpassed.htsl", "HTSL", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\failing\nested_conditionals.htsl", "HTSL", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\failing\number_above_integer_limit.htsl", "HTSL", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\global_stats.htsl", "HTSL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\omitted_fields.htsl", "HTSL", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Sandy\Documents\Projects\htsl\test\cases\actions\placeholders.htsl", "HTSL", 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
